Timestamp,Inside_Temperature,Outside_Temperature,Set_Point_Temperature,Heat_Flow,Heating_Cooling_Time
0,24.795898174571523,14.617100610326814,19.07106067436722,-1.0642754682839057,0
60,24.729908049825617,15.923488036774,18.990692355099927,-2.3723133571224264,0
120,24.334509626424314,15.761889021703384,19.05545820734124,-3.2686848148468846,0
180,23.869574290407428,15.164616496258729,19.102307573798594,-4.173548426113788,0
240,23.816807460725986,16.560287679372426,19.067466712258877,-5.6322779274587536,0
300,23.59727050950996,14.865723794720543,18.998603734795072,-5.995846359026595,0
360,23.221936305117133,14.7074171802615,19.053399911093074,-5.053456514829524,0
420,22.89371750852088,15.00409074026369,19.05505804650053,-4.504300758266978,0
480,22.78170800566063,15.57897412738992,18.976000170454096,-5.851406579218242,0
540,23.034374085873015,16.203136357137907,19.041936365060995,-4.939873768979336,0
600,22.984475811399296,15.158757764494704,19.227980107220553,-5.549645706560077,0
660,22.824730452593005,15.47061271151827,19.241599750783212,-5.516658406049155,0
720,23.091669465894938,15.879060760147961,19.26591063429363,-4.638012927221892,0
780,22.513173935943186,15.002246624333385,19.165230019013567,-4.852911483969408,0
840,22.315214822718456,14.993802668393482,18.937777006732997,-4.183708906881836,0
900,22.537818633583147,16.265975318932984,18.82041006798901,-4.7228472976620015,0
960,22.199978509792214,15.64722030696091,18.674756992692153,-5.08719467349636,0
1020,21.932567187755993,15.022491827531068,18.630726457819048,-4.81316965455361,0
1080,21.595651256932353,17.881914543241116,18.721921797282448,-5.174220813780082,0
1140,21.161707757738032,17.136284160082997,18.55710735734175,-5.740739334242159,0
1200,20.9172476062712,16.451758747090064,18.64150516367143,-5.051340805781493,0
1260,21.17978344287261,16.534970100998223,18.62816897745186,-4.928031295455485,0
1320,21.30283395248221,16.401412673137518,18.62334900564042,-5.8897481148338855,0
1380,21.48362594655851,16.26260898418946,18.670539640144316,-4.163875171548168,0
1440,21.069641037243525,14.28639496528413,18.68161401643251,-5.165817209939894,0
1500,21.327388708856255,15.475719136688731,18.485766635699694,-5.817178256137526,0
1560,21.341834728749856,16.095482719517285,18.41344299766937,-5.661865015841219,0
1620,21.5504131733742,16.660476485302326,18.39421498906734,-4.09019151529232,0
1680,21.81112099318078,15.535166559181754,18.459148288166144,-5.955030589471337,0
1740,21.4041775844071,17.332065953583577,18.341299387936832,-5.220707033207974,0
1800,21.587666456459015,16.527408628534204,18.232584260358248,-4.155548686279475,0
1860,21.346929441621654,15.77930729484319,18.08447463564533,-4.033929031421215,0
1920,21.329123691568974,17.032188962781277,17.96821658981986,-4.259572467695212,0
1980,21.109721965921054,16.534235892714207,17.994421606662854,-5.030689653076906,0
2040,20.93958477587623,16.918533985719957,18.22872589231365,-4.428296789268306,0
2100,20.588581666417216,17.88738028217193,18.175317176000775,-4.5518664233407735,0
2160,20.677368396531676,17.099030874856165,18.23586276366749,-4.629151858461848,0
